id,title,media,url,stream,update_day,episode,dummy_episode,season,rank
1,鬼滅の刃 遊郭編,Amazonプライム,https://www.amazon.co.jp/dp/B09KHGHQ6M,Mon,Mon,11,0,now,2
2,王様ランキング,Amazonプライム,https://www.amazon.co.jp/dp/B09JBGF9W9,Fri,Fri,23,0,now,3
3,SHAMAN KING（2021年版）,Amazonプライム,https://www.amazon.co.jp/dp/B091XQT58W,Fri,Fri,49,0,now,58
4,進撃の巨人 The Final Season Part.2,Amazonプライム,https://www.amazon.co.jp/dp/B09PYWTRX3,Mon,Mon,11,0,now,1
5,明日ちゃんのセーラー服,Amazonプライム,https://www.amazon.co.jp/dp/B09PT93YP1,Tue,Tue,12,0,now,4
6,その着せ替え人形は恋をする,Amazonプライム,https://www.amazon.co.jp/dp/B09PTHTPTJ,Sat,Sun,12,0,now,5
7,からかい上手の高木さん3,Amazonプライム,https://www.amazon.co.jp/dp/B09PKR9YJF,Wed,Sat,12,0,now,7
8,平家物語,Amazonプライム,https://www.amazon.co.jp/dp/B09KDMMPDL,Thu,Thu,11,0,now,8
9,ハコヅメ ～交番女子の逆襲～,Amazonプライム,https://www.amazon.co.jp/dp/B09PQKSM67,Wed,Fri,13,0,now,10
10,失格紋の最強賢者,Amazonプライム,https://www.amazon.co.jp/dp/B09Q2DMRG9,Wed,Fri,12,0,now,20
11,東京24区,Amazonプライム,https://www.amazon.co.jp/dp/B09PRQNV35,Sat,Sat,10,0,now,11
12,CUE!,Amazonプライム,https://www.amazon.co.jp/dp/B09PNVD393,Sat,Sat,12,0,now,12
13,怪人開発部の黒井津さん,Amazonプライム,https://www.amazon.co.jp/dp/B09PTHWWBY,Mon,Tue,11,0,now,13
14,時光代理人 -LINK CLICK-,Amazonプライム,https://www.amazon.co.jp/dp/B09PZC7YCJ,Sun,Tue,12,0,now,14
15,イロドリミドリ,Amazonプライム,https://www.amazon.co.jp/dp/B09PJVF8GX,Tue,Wed,8,0,now,15
16,ドールズフロントライン,Amazonプライム,https://www.amazon.co.jp/dp/B09PNV59MZ,Sat,Sat,12,0,now,16
17,最遊記RELOAD -ZEROIN-,Amazonプライム,https://www.amazon.co.jp/dp/B09PHGN5GX,Tue,Tue,12,0,now,18
18,幻想三國誌 -天元霊心記-,Amazonプライム,https://www.amazon.co.jp/dp/B09PZ8QDHQ,Tue,Tue,12,0,now,19
19,スローループ,Amazonプライム,https://www.amazon.co.jp/dp/B09PKSX9PL,Fri,Sat,11,0,now,6
20,ヴァニタスの手記 第2クール,Amazonプライム,https://www.amazon.co.jp/dp/B098BRF327,Fri,Sat,23,0,now,17
21,終末のハーレム,Amazonプライム,https://www.amazon.co.jp/dp/B09PKQWLC9,Fri,Sat,11,0,now,9
22,鬼滅の刃 遊郭編,Abemaビデオ,https://abema.tv/video/title/26-150,Mon,Mon,11,0,now,1
23,明日ちゃんのセーラー服,Abemaビデオ,https://abema.tv/video/title/26-158,Tue,Tue,12,0,now,2
